AT1G25410.1	AT1G68460.1	AT2G27760.1	AT3G19160.1	AT3G23630.1	AT3G63110.1	AT4G24650.1	AT5G19040.1	AT5G20040.1	B7FQX4_PHATC	B8C0R1_THAPS	Chlre4_409217	Chlsp_55198	Cyame_CMS475C	D7FQ18_ECTSI	D8FY86_9CYAN	IPTZ_AGRT5	IPT_AGRT5	LOC_Os01g49390.1	LOC_Os01g73760.1	LOC_Os03g24240.1	LOC_Os03g24440.1	LOC_Os03g59570.1	LOC_Os05g24660.1	LOC_Os05g47840.1	LOC_Os06g51350.1	LOC_Os07g09220.1	LOC_Os07g11050.1	MIAA_ANAVT	MIAA_ECOLI	MIAA_GLOVI	MIAA_NOSP7	MIAA_PROMA	MIAA_SYNE7	MOD5_YEAST	Micp1_3167	Micp1_38216	Micp2_56420	Micp2_68379	Ostlu_34266	Ostlu_3723	Ostta_31753	Ostta_33635	PpIPT1	PpIPT2	PpIPT3	PpIPT4	PpIPT5	PpIPT6	PpIPT7	Selmo1_3_410898	TRIT1_HUMAN	Trit1_MOUSE	Volca1_90025	Zeama_018046_P.01	Zeama_025429_P.01	Zeama_059373_P.01	Zeama_084462_P.01	Zeama_097258_P.01	Zeama_102915_P.01	Zeama_104559_P.01	Zeama_115385_T01_P01.1	Zeama_116878_P.01	Zeama_129964_P.01	Zeama_144663_P.01	Zeama_AC183318_3FGP036.1	Zeama_AC200304_2FGP029.1	Zeama_AC209075_3FGP029.1	tit1_SCHPO
AT1G25410.1	0.00588330654746205	0.0768916417940719	0.304212983708227	0.0768916417940719	0.147686388247276	0.0768916417940719	0.0768916417940719	0.0768916417940719	0.535384922293141	0.484510211762468	0.501806675903301	0.596959712552144	0.502145340946213	0.440366286364519	0.413469657080275	0.449536525684271	0.679687163599908	0.679687163599908	0.0768916417940719	0.271024304710011	0.148152056132733	0.148152056132733	0.0768916417940719	0.0768916417940719	0.0768916417940719	0.535384922293141	0.254025310517149	0.121765200540718	0.502629471568404	0.484751762325471	0.469567092171571	0.502629471568404	0.502677680216996	0.502434646370024	0.403336190050481	0.466914474853228	0.320279096643753	0.393593738133202	0.466914474853228	0.436203744248935	0.520178220907859	0.40304688462667	0.643950712553945	0.502129711494428	0.5021903356849	0.537892916858197	0.535384922293141	0.520055629385953	0.520035418500609	0.5021903356849	0.535366058800153	0.415042155168282	0.415042155168282	0.57260714997998	0.0768916417940719	0.0768916417940719	0.0768916417940719	0.147686388247276	0.236812110546886	0.535366058800153	0.0768916417940719	0.0768916417940719	0.0768916417940719	0.0768916417940719	0.0768916417940719	0.0768916417940719	0.0768916417940719	0.0768916417940719	0.378574844840246
AT1G68460.1	0.0768916417940719	0.00559762843851397	0.237671904576373	0.00559762843851397	0.0763923748917182	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.485510841628369	0.41321619840691	0.484128167284148	0.572484558458074	0.435604261814359	0.377984024678406	0.342175643724718	0.378242512328713	0.60839315024435	0.60839315024435	0.00559762843851397	0.316585285665636	0.0768580427771752	0.0768580427771752	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.485510841628369	0.182731297161591	0.0718911198759463	0.431335458212846	0.413457748969913	0.419693011506799	0.431335458212846	0.431383666861438	0.452560565705252	0.353462109385709	0.39562046149767	0.362761653103518	0.341393891493812	0.39562046149767	0.386329663584163	0.501643317606707	0.353172803961898	0.651020333249934	0.43083569813887	0.452316255020128	0.466598903502639	0.485510841628369	0.448761616030395	0.448741405145051	0.452316255020128	0.485491978135381	0.371035613405248	0.371035613405248	0.551387176996992	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.0763923748917182	0.287691303177094	0.485491978135381	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.307280831484688
AT2G27760.1	0.304212983708227	0.237671904576373	0.00544597518744838	0.237671904576373	0.236312843644532	0.237671904576373	0.237671904576373	0.237671904576373	0.424722359675346	0.360349129337962	0.466544754390338	0.551687984835204	0.424662492583151	0.362598538396322	0.386306658755361	0.253905520658799	0.60839315024435	0.60839315024435	0.237671904576373	0.192147489975131	0.236312843644532	0.236312843644532	0.237671904576373	0.237671904576373	0.237671904576373	0.424722359675346	0.386329663584163	0.28531741054035	0.32485596490052	0.2891207573	0.303645152614879	0.32485596490052	0.307046675191525	0.336512706813333	0.187539781650955	0.336772106089825	0.204199490491333	0.206815536353564	0.336772106089825	0.237074334316491	0.435726771791593	0.237126690133764	0.579887508070563	0.377755076270167	0.485491978135381	0.395612574627755	0.424722359675346	0.435957425469845	0.395612574627755	0.485491978135381	0.435905069652571	0.170872783183873	0.170872783183873	0.533208975566869	0.237671904576373	0.237671904576373	0.237671904576373	0.236312843644532	0.138290655973473	0.435905069652571	0.237671904576373	0.237671904576373	0.237671904576373	0.237671904576373	0.237671904576373	0.237671904576373	0.237671904576373	0.237671904576373	0.129506908911737
AT3G19160.1	0.0768916417940719	0.00559762843851397	0.237671904576373	0.00559762843851397	0.0763923748917182	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.485510841628369	0.41321619840691	0.484128167284148	0.572484558458074	0.435604261814359	0.377984024678406	0.342175643724718	0.378242512328713	0.60839315024435	0.60839315024435	0.00559762843851397	0.316585285665636	0.0768580427771752	0.0768580427771752	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.485510841628369	0.182731297161591	0.0718911198759463	0.431335458212846	0.413457748969913	0.419693011506799	0.431335458212846	0.431383666861438	0.452560565705252	0.353462109385709	0.39562046149767	0.362761653103518	0.341393891493812	0.39562046149767	0.386329663584163	0.501643317606707	0.353172803961898	0.651020333249934	0.43083569813887	0.452316255020128	0.466598903502639	0.485510841628369	0.448761616030395	0.448741405145051	0.452316255020128	0.485491978135381	0.371035613405248	0.371035613405248	0.551387176996992	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.0763923748917182	0.287691303177094	0.485491978135381	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.307280831484688
AT3G23630.1	0.147686388247276	0.0763923748917182	0.236312843644532	0.0763923748917182	0.00534563449877345	0.0763923748917182	0.0763923748917182	0.0763923748917182	0.466598903502639	0.387592031921526	0.5019565512087	0.558829907339944	0.406003083897965	0.393609335741295	0.360033142082306	0.387592031921526	0.597500698494394	0.597500698494394	0.0763923748917182	0.37136410462454	0.0628564670937756	0.0628564670937756	0.0763923748917182	0.0763923748917182	0.0763923748917182	0.466598903502639	0.253526043614796	0.137966216565604	0.406823183998929	0.425516132919742	0.431335458212846	0.406823183998929	0.406875101005105	0.466550694854046	0.360373777368821	0.403026013039717	0.362761653103518	0.356100066611826	0.403026013039717	0.395589014010022	0.501980678741484	0.306970861387748	0.642000545836086	0.43589356723817	0.431053485879153	0.425568049925919	0.466598903502639	0.425568049925919	0.463513916492967	0.431053485879153	0.501834351029184	0.378181666891693	0.378181666891693	0.539598755262541	0.0763923748917182	0.0763923748917182	0.0763923748917182	0.00534563449877345	0.347699672226463	0.501834351029184	0.0763923748917182	0.0763923748917182	0.0763923748917182	0.0763923748917182	0.0763923748917182	0.0763923748917182	0.0763923748917182	0.0763923748917182	0.311171760243346
AT3G63110.1	0.0768916417940719	0.00559762843851397	0.237671904576373	0.00559762843851397	0.0763923748917182	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.485510841628369	0.41321619840691	0.484128167284148	0.572484558458074	0.435604261814359	0.377984024678406	0.342175643724718	0.378242512328713	0.60839315024435	0.60839315024435	0.00559762843851397	0.316585285665636	0.0768580427771752	0.0768580427771752	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.485510841628369	0.182731297161591	0.0718911198759463	0.431335458212846	0.413457748969913	0.419693011506799	0.431335458212846	0.431383666861438	0.452560565705252	0.353462109385709	0.39562046149767	0.362761653103518	0.341393891493812	0.39562046149767	0.386329663584163	0.501643317606707	0.353172803961898	0.651020333249934	0.43083569813887	0.452316255020128	0.466598903502639	0.485510841628369	0.448761616030395	0.448741405145051	0.452316255020128	0.485491978135381	0.371035613405248	0.371035613405248	0.551387176996992	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.0763923748917182	0.287691303177094	0.485491978135381	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.307280831484688
AT4G24650.1	0.0768916417940719	0.00559762843851397	0.237671904576373	0.00559762843851397	0.0763923748917182	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.485510841628369	0.41321619840691	0.484128167284148	0.572484558458074	0.435604261814359	0.377984024678406	0.342175643724718	0.378242512328713	0.60839315024435	0.60839315024435	0.00559762843851397	0.316585285665636	0.0768580427771752	0.0768580427771752	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.485510841628369	0.182731297161591	0.0718911198759463	0.431335458212846	0.413457748969913	0.419693011506799	0.431335458212846	0.431383666861438	0.452560565705252	0.353462109385709	0.39562046149767	0.362761653103518	0.341393891493812	0.39562046149767	0.386329663584163	0.501643317606707	0.353172803961898	0.651020333249934	0.43083569813887	0.452316255020128	0.466598903502639	0.485510841628369	0.448761616030395	0.448741405145051	0.452316255020128	0.485491978135381	0.371035613405248	0.371035613405248	0.551387176996992	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.0763923748917182	0.287691303177094	0.485491978135381	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.307280831484688
AT5G19040.1	0.0768916417940719	0.00559762843851397	0.237671904576373	0.00559762843851397	0.0763923748917182	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.485510841628369	0.41321619840691	0.484128167284148	0.572484558458074	0.435604261814359	0.377984024678406	0.342175643724718	0.378242512328713	0.60839315024435	0.60839315024435	0.00559762843851397	0.316585285665636	0.0768580427771752	0.0768580427771752	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.485510841628369	0.182731297161591	0.0718911198759463	0.431335458212846	0.413457748969913	0.419693011506799	0.431335458212846	0.431383666861438	0.452560565705252	0.353462109385709	0.39562046149767	0.362761653103518	0.341393891493812	0.39562046149767	0.386329663584163	0.501643317606707	0.353172803961898	0.651020333249934	0.43083569813887	0.452316255020128	0.466598903502639	0.485510841628369	0.448761616030395	0.448741405145051	0.452316255020128	0.485491978135381	0.371035613405248	0.371035613405248	0.551387176996992	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.0763923748917182	0.287691303177094	0.485491978135381	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.00559762843851397	0.307280831484688
AT5G20040.1	0.535384922293141	0.485510841628369	0.424722359675346	0.485510841628369	0.466598903502639	0.485510841628369	0.485510841628369	0.485510841628369	0.00422310971492967	0.330104063119003	0.463414157298451	0.341749096540861	0.269849574922171	0.200195446254721	0.271109846198615	0.330428285293692	0.616731850571797	0.616731850571797	0.485510841628369	0.473156412397921	0.466598903502639	0.466598903502639	0.485510841628369	0.485510841628369	0.485510841628369	0.00422310971492967	0.484456401860227	0.518717923826059	0.406836456015545	0.38758353836931	0.25351905986683	0.406836456015545	0.330428285293692	0.310674312942448	0.291443160865046	0.138672019043545	0.564131258298809	0.543242094824003	0.138672019043545	0.342054363660399	0.195489522179059	0.348658824499056	0.359380994115621	0.203648023789553	0.368074141356686	0.13828758821741	0.0617243505340694	0.217752068649405	0.146765739774521	0.310551508822221	0.0753500304495777	0.36223361401602	0.36223361401602	0.385632490104804	0.485510841628369	0.485510841628369	0.485510841628369	0.466598903502639	0.45585399923568	0.0753500304495777	0.485510841628369	0.485510841628369	0.485510841628369	0.485510841628369	0.485510841628369	0.485510841628369	0.485510841628369	0.485510841628369	0.368352386291908
B7FQX4_PHATC	0.484510211762468	0.41321619840691	0.360349129337962	0.41321619840691	0.387592031921526	0.41321619840691	0.41321619840691	0.41321619840691	0.330104063119003	0.00497408103600894	0.389240135680311	0.501759984606317	0.349261532621396	0.272875127468376	0.295033327006513	0.154489776474393	0.551752401144582	0.551752401144582	0.41321619840691	0.487062438793941	0.387592031921526	0.387592031921526	0.41321619840691	0.41321619840691	0.41321619840691	0.330104063119003	0.357006571519507	0.452335118513116	0.179490274175016	0.25379210317332	0.231354342249448	0.179490274175016	0.253887890520832	0.321629184703018	0.349607520364918	0.233115136174593	0.485599712782811	0.457992326514817	0.233115136174593	0.41342186433675	0.356808468301803	0.406823183998929	0.521076553451578	0.306955120005904	0.41900458514102	0.336197592544173	0.330104063119003	0.336263037315765	0.310872911041601	0.41900458514102	0.360096274538629	0.402992520715431	0.402992520715431	0.482857203985973	0.41321619840691	0.41321619840691	0.41321619840691	0.387592031921526	0.469533599847285	0.360096274538629	0.41321619840691	0.41321619840691	0.41321619840691	0.41321619840691	0.41321619840691	0.41321619840691	0.41321619840691	0.41321619840691	0.295408147061994
